bump_id,x_um,y_um
0,75.0,75.0
1,225.0,75.0
2,375.0,75.0
3,525.0,75.0
4,675.0,75.0
5,825.0,75.0
6,975.0,75.0
7,75.0,225.0
8,225.0,225.0
9,375.0,225.0
10,525.0,225.0
11,675.0,225.0
12,825.0,225.0
13,975.0,225.0
14,75.0,375.0
15,225.0,375.0
16,375.0,375.0
17,525.0,375.0
18,675.0,375.0
19,825.0,375.0
20,975.0,375.0
21,75.0,525.0
22,225.0,525.0
23,375.0,525.0
24,525.0,525.0
25,675.0,525.0
26,825.0,525.0
27,975.0,525.0
28,75.0,675.0
29,225.0,675.0
30,375.0,675.0
31,525.0,675.0
32,675.0,675.0
33,825.0,675.0
34,975.0,675.0
35,75.0,825.0
36,225.0,825.0
37,375.0,825.0
38,525.0,825.0
39,675.0,825.0
40,825.0,825.0
41,975.0,825.0
42,75.0,975.0
43,225.0,975.0
44,375.0,975.0
45,525.0,975.0
46,675.0,975.0
47,825.0,975.0
48,975.0,975.0
49,75.0,1125.0
50,225.0,1125.0
51,375.0,1125.0
52,525.0,1125.0
53,675.0,1125.0
54,825.0,1125.0
55,975.0,1125.0
